Invalid value in attribute code column,Invalid value in attribute code column
Empty attribute code,Empty attribute code
Invalid row(s),Invalid row(s)
Invalid Yes/No attribute,Invalid Yes/No attribute
Entity Type ID of product attributes must be 4,Entity Type ID of product attributes must be 4
Invalid columns frontend_input or backend_type,Invalid columns frontend_input or backend_type
Empty attribute_set,Empty attribute_set
Invalid source_model or backend_model,Invalid source_model or backend_model
Entity type model '%1' is not found,Entity type model '%1' is not found
Entity type model must be an instance of,Entity type model must be an instance of
There are no product types available for export,There are no product types available for export
There is no sample file for this entity,There is no sample file for this entity
Entity Type,Entity Type
All,All
Product Attributes,Product Attributes
Missing Column(s), Missing Column(s)
Store id of swatch value does not exist,Store id of swatch value does not exist
