Hide From Front,Hide From Front
"Are you sure you want to Hide selected Attribute from Front?","Are you sure you want to Hide selected Attribute from Front?"
Show In Front,Show In Front
"Are you sure you want to Display selected Attribute from Front?","Are you sure you want to Display selected Attribute from Front?"
Attribute Name,Attribute Name
Show in Front,Show in Front
"Custom Attributes","Custom Attributes"
"Manage Custom Attribute","Manage Custom Attribute"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
