"(*.jpg, *.png, *.gif)","(*.jpg, *.png, *.gif)"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New News","Create New News"
"Delete News","Delete News"
"Description","Description"
"Disable","Disable"
"Edit News '%1'","Edit News '%1'"
"Empty to auto create url key","Empty to auto create url key"
"Enable","Enable"
"End Publish Date","End Publish Date"
"ID","ID"
"Image","Image"
"Meta Description","Meta Description"
"Meta Keyword","Meta Keyword"
"New News","New News"
"News %1","News %1"
"News Information","News Information"
"News Post","News Post"
"News to delete was not found.","News to delete was not found."
"News","News"
"Please Select News Post.","Please Select News Post."
"Save News","Save News"
"Save and Continue Edit","Save and Continue Edit"
"Short Description","Short Description"
"Something went wrong while saving the News.","Something went wrong while saving the News."
"Start Publish Date","Start Publish Date"
"Status","Status"
"The News has been deleted.","The News has been deleted."
"The News has been saved.","The News has been saved."
"This News no longer exists.","This News no longer exists."
"Title","Title"
"URL Key","URL Key"
"URL","URL"
